iter	Passed	Remaining
940	3914	245
941	3918	241
942	3922	237
943	3925	232
944	3929	228
945	3935	224
946	3939	220
947	3943	216
948	3947	212
949	3951	207
950	3954	203
951	3957	199
952	3961	195
953	3964	191
954	3968	186
955	3971	182
956	3975	178
957	3978	174
958	3981	170
959	3984	166
960	3988	161
961	3991	157
962	3994	153
963	3997	149
964	4000	145
965	4003	140
966	4006	136
967	4009	132
968	4013	128
969	4016	124
970	4020	120
971	4023	115
972	4026	111
973	4029	107
974	4033	103
975	4037	99
976	4040	95
977	4043	90
978	4049	86
979	4053	82
980	4056	78
981	4059	74
982	4062	70
983	4065	66
984	4068	61
985	4071	57
986	4075	53
987	4078	49
988	4081	45
989	4084	41
990	4087	37
991	4091	32
992	4095	28
993	4098	24
994	4101	20
995	4104	16
996	4107	12
997	4110	8
998	4114	4
999	4117	0
